Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-01,381.87651562075024,398.08874543498945,288.755205975807,334.77215576171875,84534851.0,0.0,0
2019-02-01,336.0078154384063,355.13624555406614,312.134361958793,322.11871337890625,133558828.0,0.0,0
2019-03-01,325.0349216547678,381.48107949960655,323.2555453987215,373.81982421875,70090763.0,0.0,0
2019-04-01,376.5877806324337,392.0091220042136,368.72880345140766,388.30206298828125,45592283.0,0.0,0
2019-05-01,388.3020713291428,425.66924511327505,354.9879850245732,411.6318359375,119239950.0,0.0,0
2019-06-01,411.63182423091405,424.92782120944594,385.23758232203016,405.5028381347656,75393310.0,0.0,0
2019-07-01,407.2822449686612,416.673461782259,364.42863379088203,373.2267150878906,50080858.0,0.0,0
2019-07-26,,,,,,0.2,0
2019-08-01,371.89000654079217,376.34081778928567,335.9373363078287,361.7026062011719,55497170.0,0.0,0
2019-09-01,361.7026132150937,416.0025054628668,352.75151897581844,409.4252014160156,61820372.0,0.0,0
2019-10-01,410.6615381345161,424.16232648772535,386.3798715058247,391.47357177734375,61007146.0,0.0,0
2019-11-01,391.6713980829481,392.9077345667958,357.59795251450726,377.8738708496094,87818122.0,0.0,0
2019-12-01,376.9342796283881,379.1596853370763,353.44388603667926,361.99932861328125,75412433.0,0.0,0
2020-01-01,363.9774612728705,390.2867077168936,361.9993228963875,365.3621520996094,80452317.0,0.0,0
2020-02-01,365.75775446269535,374.75828963816457,335.4922630446921,366.7962951660156,81132986.0,0.0,0
2020-03-01,342.3168456192025,348.05343472901353,200.7810414193236,248.55308532714844,151020987.0,0.0,0
2020-03-16,,,,,,3.2,0
2020-04-01,246.0500030517578,296.0,235.0500030517578,290.1000061035156,78640218.0,0.0,0
2020-05-01,275.0,334.1499938964844,261.1000061035156,323.79998779296875,115156670.0,0.0,0
2020-06-01,326.0,360.0,325.79998779296875,343.8999938964844,75692680.0,0.0,0
2020-07-01,345.8999938964844,366.79998779296875,298.0,315.20001220703125,81868680.0,0.0,0
2020-08-01,311.0,378.3500061035156,308.6499938964844,355.75,104521798.0,0.0,0
2020-09-01,357.0,368.0,312.1000061035156,341.75,93304654.0,0.0,0
2020-10-01,345.5,373.8999938964844,341.1499938964844,359.8500061035156,97436327.0,0.0,0
2020-11-01,360.0,416.0,347.20001220703125,411.54998779296875,191064644.0,0.0,0
2020-12-01,415.0,475.0,412.0,466.29998779296875,84179254.0,0.0,0
2020-12-11,471.75,475.0,462.70001220703125,466.29998779296875,4922173.0,0.0,0
