Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-01,173.5,198.3000030517578,165.10000610351562,181.1999969482422,305923540,0,0
2019-02-01,182.0,186.10000610351562,129.0,177.4499969482422,413626349,0,0
2019-03-01,178.64999389648438,198.35000610351562,167.5500030517578,174.25,348311811,0,0
2019-04-01,176.35000610351562,239.35000610351562,176.35000610351562,214.3000030517578,804239367,0,0
2019-05-01,214.3000030517578,214.3000030517578,167.39999389648438,172.60000610351562,581853469,0,0
2019-06-01,170.5,177.1999969482422,152.14999389648438,162.5500030517578,332449335,0,0
2019-07-01,163.6999969482422,172.35000610351562,132.5,135.60000610351562,590085233,0,0
2019-08-01,135.5,136.3000030517578,106.19999694824219,116.69999694824219,890852844,0,0
2019-09-01,116.69999694824219,138.39999389648438,106.0,117.44999694824219,1091861149,0,0
2019-10-01,118.0,179.64999389648438,112.6500015258789,177.6999969482422,1168104851,0,0
2019-11-01,175.1999969482422,178.89999389648438,159.89999389648438,161.5,554109570,0,0
2019-12-01,160.9499969482422,187.89999389648438,157.39999389648438,185.14999389648438,812751608,0,0
2020-01-01,185.14999389648438,201.6999969482422,174.89999389648438,176.60000610351562,886712613,0,0
2020-02-01,175.39999389648438,184.9499969482422,127.05000305175781,128.9499969482422,1055369812,0,0
2020-03-01,133.0,133.89999389648438,63.5,71.05000305175781,1625401538,0,0
2020-04-01,70.5,93.75,64.80000305175781,93.25,1172889811,0,0
2020-05-01,87.0,92.5,79.5999984741211,87.0,1137152288,0,0
2020-06-01,88.9000015258789,119.1500015258789,88.0,98.25,2061553847,0,0
2020-07-01,99.0,112.5999984741211,98.19999694824219,104.6500015258789,1236331449,0,0
2020-08-01,103.0,147.9499969482422,102.9000015258789,143.1999969482422,1866004733,0,0
2020-09-01,143.39999389648438,155.1999969482422,122.1500015258789,133.3000030517578,1583849546,0,0
2020-10-01,135.89999389648438,145.8000030517578,126.0,132.64999389648438,1287524170,0,0
2020-11-01,133.64999389648438,183.85000610351562,131.10000610351562,180.35000610351562,1272879055,0,0
2020-12-01,182.35000610351562,188.8000030517578,176.39999389648438,178.85000610351562,411997976,0,0
2020-12-11,177.9499969482422,181.4499969482422,176.5,178.85000610351562,43059017,0,0
