Prices,upPrices,downPrices,AvgGain,AvgLoss,RS,RSI
1315.80419921875,0.0,0.0,0.0,0.0,0.0,0.0
1132.4263916015625,0.0,-183.3778076171875,0.0,0.0,0.0,0.0
1218.482421875,86.0560302734375,0.0,0.0,0.0,0.0,0.0
1207.46484375,0.0,-11.017578125,0.0,0.0,0.0,0.0
1229.5992431640625,22.1343994140625,0.0,0.0,0.0,0.0,0.0
1349.10498046875,119.5057373046875,0.0,0.0,0.0,0.0,0.0
1341.5614013671875,0.0,-7.5435791015625,0.0,0.0,0.0,0.0
1496.9488525390625,155.387451171875,0.0,0.0,0.0,0.0,0.0
1385.1353759765625,0.0,-111.8134765625,0.0,0.0,0.0,0.0
1479.7020263671875,94.566650390625,0.0,0.0,0.0,0.0,0.0
1436.251708984375,0.0,-43.4503173828125,0.0,0.0,0.0,0.0
1437.0489501953125,0.7972412109375,0.0,0.0,0.0,0.0,0.0
1654.499755859375,217.4508056640625,0.0,0.0,0.0,0.0,0.0
1794.517333984375,140.017578125,0.0,0.0,0.0,0.0,0.0
1137.1953125,0.0,-657.322021484375,0.0,0.0,0.0,0.0
1392.07958984375,254.88427734375,0.0,77.91429792131696,72.46605573381696,1.0751833687142094,51.81148735691712
1354.740478515625,0.0,-37.339111328125,77.91429792131696,62.034720284598215,1.2559788706045198,55.67334370769011
1347.652099609375,0.0,-7.08837890625,71.76743861607143,62.54103306361607,1.1475256339797004,53.43478167723457
1671.873291015625,324.22119140625,0.0,94.92609514508929,61.754063197544646,1.5371635521606224,60.58590707924957
1631.8885498046875,0.0,-39.9847412109375,93.34506661551339,64.61011614118304,1.4447438294576047,59.09591884635775
2144.552490234375,512.6639404296875,0.0,121.42779541015625,64.61011614118304,1.8793929288846631,65.27045718670459
2119.449951171875,0.0,-25.1025390625,121.42779541015625,65.86432756696429,1.8436048752900507,64.83337018129149
2347.89990234375,228.449951171875,0.0,126.64654541015625,65.86432756696429,1.9228397235422263,65.78669737018329
2359.89990234375,12.0,0.0,127.50368826729911,57.877650669642854,2.202986589678138,68.77913871938851
2359.89990234375,0.0,0.0,120.74892752511161,57.877650669642854,2.0862790062839416,67.59852242898617
