Prices,upPrices,downPrices,AvgGain,AvgLoss,RS,RSI
61119.0078125,0.0,0.0,0.0,0.0,0.0,0.0
56681.76953125,0.0,-4437.23828125,0.0,0.0,0.0,0.0
57829.16015625,1147.390625,0.0,0.0,0.0,0.0,0.0
52760.90234375,0.0,-5068.2578125,0.0,0.0,0.0,0.0
55114.57421875,2353.671875,0.0,0.0,0.0,0.0,0.0
56455.4140625,1340.83984375,0.0,0.0,0.0,0.0,0.0
53402.9453125,0.0,-3052.46875,0.0,0.0,0.0,0.0
58430.51953125,5027.57421875,0.0,0.0,0.0,0.0,0.0
63182.9296875,4752.41015625,0.0,0.0,0.0,0.0,0.0
65561.0390625,2378.109375,0.0,0.0,0.0,0.0,0.0
63288.24609375,0.0,-2272.79296875,0.0,0.0,0.0,0.0
66219.5546875,2931.30859375,0.0,0.0,0.0,0.0,0.0
69558.4765625,3338.921875,0.0,0.0,0.0,0.0,0.0
68759.71875,0.0,-798.7578125,0.0,0.0,0.0,0.0
58069.734375,0.0,-10689.984375,0.0,0.0,0.0,0.0
60412.12109375,2342.38671875,0.0,1829.472377232143,1879.9642857142858,0.9731420916525769,49.31941271586455
59016.8984375,0.0,-1395.22265625,1829.472377232143,1662.677455357143,1.100317064706439,52.388140971479
67165.0078125,8148.109375,0.0,2329.5237165178573,1662.677455357143,1.4010677230343969,58.3518619484739
60949.2421875,0.0,-6215.765625,2329.5237165178573,1744.642299107143,1.3352443178237967,57.177928135078595
57893.0234375,0.0,-3056.21875,2161.404296875,1962.943638392857,1.1011035949277845,52.40596406507171
59475.24609375,1582.22265625,0.0,2178.645926339286,1962.943638392857,1.1098871530122143,52.60410024430292
65300.5546875,5825.30859375,0.0,2594.7393973214284,1744.91015625,1.4870332366554637,59.79145009960584
77735.453125,12434.8984375,0.0,3123.833984375,1744.91015625,1.7902549155243934,64.16098061735471
77878.3984375,142.9453125,0.0,2794.586495535714,1744.91015625,1.6015646911824857,61.56159393655241
77878.3515625,0.0,-0.046875,2624.7215401785716,1744.9135044642858,1.5042129787312293,60.067294255991975
