Prices,upPrices,downPrices,AvgGain,AvgLoss,RS,RSI
22962.22265625,0.0,0.0,0.0,0.0,0.0,0.0
21898.412109375,0.0,-1063.810546875,0.0,0.0,0.0,0.0
24620.267578125,2721.85546875,0.0,0.0,0.0,0.0,0.0
22766.369140625,0.0,-1853.8984375,0.0,0.0,0.0,0.0
19478.859375,0.0,-3287.509765625,0.0,0.0,0.0,0.0
20333.77734375,854.91796875,0.0,0.0,0.0,0.0,0.0
17954.19140625,0.0,-2379.5859375,0.0,0.0,0.0,0.0
18436.115234375,481.923828125,0.0,0.0,0.0,0.0,0.0
22309.244140625,3873.12890625,0.0,0.0,0.0,0.0,0.0
25512.3984375,3203.154296875,0.0,0.0,0.0,0.0,0.0
21844.8828125,0.0,-3667.515625,0.0,0.0,0.0,0.0
23228.84375,1383.9609375,0.0,0.0,0.0,0.0,0.0
24266.2109375,1037.3671875,0.0,0.0,0.0,0.0,0.0
21990.69921875,0.0,-2275.51171875,0.0,0.0,0.0,0.0
16887.828125,0.0,-5102.87109375,0.0,0.0,0.0,0.0
18113.138671875,1225.310546875,0.0,1055.8299386160713,1402.193080357143,0.7529847018979356,42.95443657224664
18782.240234375,669.1015625,0.0,1103.6229073660713,1326.2066127232142,0.8321651368484035,45.41976703474728
19825.763671875,1043.5234375,0.0,983.7420479910714,1326.2066127232142,0.7417713337826518,42.58718233533715
19729.79296875,0.0,-95.970703125,983.7420479910714,1200.640345982143,0.8193478182563945,45.03524889713675
18902.998046875,0.0,-826.794921875,983.7420479910714,1024.875,0.9598653962591257,48.976087750274054
21240.724609375,2337.7265625,0.0,1089.656947544643,1024.875,1.0632096085323994,51.53182711710424
19982.361328125,0.0,-1258.36328125,1089.656947544643,944.7876674107143,1.153335278529786,53.56041346785712
22653.39453125,2671.033203125,0.0,1246.0219029017858,944.7876674107143,1.3188380266612012,56.874952519221075
23557.900390625,904.505859375,0.0,1033.9773995535713,944.7876674107143,1.094401880146563,52.25367158617994
23557.900390625,0.0,0.0,805.1806640625,944.7876674107143,0.8522345198145723,46.01115629244885
