Prices,upPrices,downPrices,AvgGain,AvgLoss,RS,RSI
875.2840576171875,0.0,0.0,0.0,0.0,0.0,0.0
925.89697265625,50.6129150390625,0.0,0.0,0.0,0.0,0.0
1027.470703125,101.57373046875,0.0,0.0,0.0,0.0,0.0
1087.181884765625,59.711181640625,0.0,0.0,0.0,0.0,0.0
1169.86279296875,82.680908203125,0.0,0.0,0.0,0.0,0.0
1106.273681640625,0.0,-63.589111328125,0.0,0.0,0.0,0.0
1204.2586669921875,97.9849853515625,0.0,0.0,0.0,0.0,0.0
1254.57958984375,50.3209228515625,0.0,0.0,0.0,0.0,0.0
1206.7523193359375,0.0,-47.8272705078125,0.0,0.0,0.0,0.0
1339.3619384765625,132.609619140625,0.0,0.0,0.0,0.0,0.0
1362.9000244140625,23.5380859375,0.0,0.0,0.0,0.0,0.0
1386.800048828125,23.9000244140625,0.0,0.0,0.0,0.0,0.0
1318.4000244140625,0.0,-68.4000244140625,0.0,0.0,0.0,0.0
1345.449951171875,27.0499267578125,0.0,0.0,0.0,0.0,0.0
1081.6500244140623,0.0,-263.7999267578127,0.0,0.0,0.0,0.0
1290.5999755859375,208.94995117187523,0.0,61.35230364118305,31.68688092912948,1.9362052004551322,65.94243481875881
1300.699951171875,10.0999755859375,0.0,58.458522251674125,31.68688092912948,1.8448809266655748,64.84914392631262
1266.5999755859375,0.0,-34.0999755859375,51.20325578962055,34.12259347098216,1.5005675296387941,60.00907841331326
1303.5999755859375,37.0,0.0,49.58102852957591,34.12259347098216,1.4530263818235152,59.234029955412616
1256.699951171875,0.0,-46.9000244140625,43.67524937220984,37.472595214843764,1.1655250756400524,53.8218231112177
1299.5,42.800048828125,0.0,46.73239571707591,32.93051583426341,1.419121278035128,58.66267602704791
1236.0,0.0,-63.5,39.7334681919643,37.466230119977695,1.0605141767593445,51.46842417882603
1451.4000244140625,215.4000244140625,0.0,51.52483258928573,37.466230119977695,1.375233975350291,57.898884472948666
1466.550048828125,15.1500244140625,0.0,52.606977190290195,34.0499965122768,1.544992146220122,60.707147898856114
1466.550048828125,0.0,0.0,43.13486153738841,34.0499965122768,1.2668095728537312,55.88513424437853
