Prices,upPrices,downPrices,AvgGain,AvgLoss,RS,RSI
309.1537170410156,0.0,0.0,0.0,0.0,0.0,0.0
325.01416015625,15.860443115234375,0.0,0.0,0.0,0.0,0.0
326.0582275390625,1.0440673828125,0.0,0.0,0.0,0.0,0.0
322.876220703125,0.0,-3.1820068359375,0.0,0.0,0.0,0.0
354.54730224609375,31.67108154296875,0.0,0.0,0.0,0.0,0.0
349.1776428222656,0.0,-5.369659423828125,0.0,0.0,0.0,0.0
297.71832275390625,0.0,-51.459320068359375,0.0,0.0,0.0,0.0
284.1947021484375,0.0,-13.52362060546875,0.0,0.0,0.0,0.0
311.83856201171875,27.64385986328125,0.0,0.0,0.0,0.0,0.0
301.298095703125,0.0,-10.54046630859375,0.0,0.0,0.0,0.0
313.1312561035156,11.833160400390625,0.0,0.0,0.0,0.0,0.0
323.2739562988281,10.1427001953125,0.0,0.0,0.0,0.0,0.0
340.32763671875,17.053680419921875,0.0,0.0,0.0,0.0,0.0
338.6371765136719,0.0,-1.690460205078125,0.0,0.0,0.0,0.0
327.45037841796875,0.0,-11.186798095703125,0.0,0.0,0.0,0.0
350.4206237792969,22.970245361328125,0.0,9.872802734375,6.925166538783482,1.4256411999745668,58.77378731815385
362.3532409667969,11.9326171875,0.0,9.59224373953683,6.925166538783482,1.3851282399949134,58.07353318653707
362.9001770019531,0.54693603515625,0.0,9.556734357561384,6.925166538783482,1.3800006547192987,57.98320483580112
363.9442443847656,1.0440673828125,0.0,9.631310599190849,6.697880336216518,1.4379639700507638,58.982166583078026
366.9770812988281,3.0328369140625,0.0,7.585721697126116,6.697880336216518,1.132555572262003,53.10790429065821
369.96026611328125,2.983184814453125,0.0,7.798806326729911,6.314333234514509,1.2350957792504815,55.259188027488435
350.122314453125,0.0,-19.83795166015625,7.798806326729911,4.0556640625,1.922941892263768,65.78789326442896
337.344482421875,0.0,-12.77783203125,7.798806326729911,4.002393450055804,1.948535650991827,66.08485979595937
367.722900390625,30.37841796875,0.0,7.994131905691964,4.002393450055804,1.9973378443292489,66.6370608874829
385.5720520019531,17.849151611328125,0.0,9.269071306501116,3.2495029994419644,2.852458147628388,74.04254733784428
383.3844299316406,0.0,-2.1876220703125,8.423845563616071,3.40576171875,2.473410138248848,71.20984968092023
357.1327209472656,0.0,-26.251708984375,7.699366978236607,5.2808837890625,1.4579694016715814,59.31601104066088
381.59454345703125,24.461822509765625,0.0,8.228519984654017,5.2808837890625,1.5581710019251915,60.90957175077685
386.4670104980469,4.872467041015625,0.0,8.576553344726562,5.160136631556919,1.662078731070119,62.43537096297623
396.21197509765625,9.744964599609375,0.0,9.272622244698661,4.361079624720982,2.126221725495763,68.01250557999312
384.5992126464844,0.0,-11.612762451171875,7.631890433175223,5.190562656947544,1.4703397179802795,59.519737600398216
379.0079345703125,0.0,-5.591278076171875,6.779560634068081,5.589939662388393,1.2128146354931142,54.80868645930863
401.922119140625,22.9141845703125,0.0,8.377221243722099,5.589939662388393,1.4986246273976407,59.97798192513949
398.2778015136719,0.0,-3.644317626953125,8.302645002092634,5.850248064313616,1.4191953761309002,58.66394215752291
394.88311767578125,0.0,-3.394683837890625,8.086013793945312,6.092725481305804,1.3271587270352945,57.0291450951453
388.5929565429688,0.0,-6.290161132812443,7.872929164341518,6.542022705078121,1.203439596476837,54.616409653392004
385.99700927734375,0.0,-2.595947265625057,7.872929164341518,5.310450962611607,1.4825349522613274,59.718593323767486
423.937744140625,37.94073486328125,0.0,10.582981654575892,4.397748674665179,2.406454401440215,70.64396342492623
440.2622375488281,16.324493408203125,0.0,9.579129900251116,4.397748674665179,2.1781894803209556,68.53554496382597
416.74896240234375,0.0,-23.513275146484375,8.304190499441964,6.077268327985491,1.3664347287747056,57.74233754092255
434.0718994140625,17.32293701171875,0.0,9.541543143136161,5.921009608677456,1.6114723288326844,61.70742500469093
457.88470458984375,23.81280517578125,0.0,11.242457798549108,4.045887538364956,2.7787370983357746,73.53613194100171
452.89251708984375,0.0,-4.9921875,9.495184762137276,4.402472359793527,2.1567846396615638,68.32219761094602
440.1124572753906,0.0,-12.780059814453125,9.147151402064733,5.315333775111607,1.7208987787173664,63.247438389773514
476.0064086914063,35.89395141601568,0.0,11.014936174665182,5.315333775111607,2.072294354541056,67.45103546078086
483.1452331542969,7.138824462890568,0.0,11.524852207728795,4.485850742885044,2.5691564138660272,71.98217494433584
508.6499938964844,25.5047607421875,0.0,13.346620832170759,4.086473737444196,3.266048356037677,76.55910302599561
519.4500122070311,10.800018310546761,0.0,12.481323242187491,4.086473737444196,3.0543015920600745,75.33483937262103
522.4500122070311,3.0,0.0,12.695608956473206,3.826165335518973,3.318102549991139,76.84168014948945
497.6000061035156,0.0,-24.85000610351551,12.695608956473206,5.3586883544921795,2.369163518499914,70.31904226348622
502.45001220703125,4.850006103515625,0.0,13.042037963867179,4.909391130719862,2.6565489724903686,72.65180891809773
492.45001220703125,0.0,-10.0,13.042037963867179,5.438252040318072,2.398204030849658,70.572691017909
495.70001220703125,3.25,0.0,10.564128330775661,5.438252040318072,1.9425595306093588,66.01598065909255
498.45001220703125,2.75,0.0,9.594521658761153,5.438252040318072,1.7642657213437996,63.82402775975287
488.7999877929688,0.0,-9.650024414062443,9.594521658761153,4.448019845145077,2.1570321160399897,68.32468080006909
483.20001220703125,0.0,-5.599975585937557,8.357169015066956,4.848018101283474,1.7238320568263685,63.287016998943216
488.5,5.29998779296875,0.0,7.034824916294634,4.848018101283474,1.4510723288001381,59.20153035673471
