Prices,upPrices,downPrices,AvgGain,AvgLoss,RS,RSI
530.2000122070311,0.0,0.0,0.0,0.0,0.0,0.0
530.8499755859375,0.6499633789063637,0.0,0.0,0.0,0.0,0.0
529.6500244140625,0.0,-1.199951171875,0.0,0.0,0.0,0.0
523.0999755859375,0.0,-6.550048828125,0.0,0.0,0.0,0.0
521.1500244140625,0.0,-1.949951171875,0.0,0.0,0.0,0.0
543.1500244140625,22.0,0.0,0.0,0.0,0.0,0.0
540.0999755859375,0.0,-3.050048828125,0.0,0.0,0.0,0.0
537.0999755859375,0.0,-3.0,0.0,0.0,0.0,0.0
557.3499755859375,20.25,0.0,0.0,0.0,0.0,0.0
549.4500122070311,0.0,-7.899963378906364,0.0,0.0,0.0,0.0
619.8499755859375,70.39996337890636,0.0,0.0,0.0,0.0,0.0
618.5999755859375,0.0,-1.25,0.0,0.0,0.0,0.0
603.4000244140625,0.0,-15.199951171875,0.0,0.0,0.0,0.0
598.0999755859375,0.0,-5.300048828125,0.0,0.0,0.0,0.0
589.25,0.0,-8.8499755859375,0.0,0.0,0.0,0.0
603.25,14.0,0.0,9.092851911272337,3.87499564034599,2.3465450687476013,70.11843619442914
594.8499755859375,0.0,-8.4000244140625,9.046425955636169,4.474997384207597,2.0215488812487985,66.90439111523814
615.5499877929688,20.70001220703125,0.0,10.524998256138401,4.389286586216526,2.397883585270911,70.56991580480323
593.9000244140625,0.0,-21.64996337890625,10.524998256138401,5.467851911272329,1.924887218404807,65.81064754539882
590.9500122070312,0.0,-2.95001220703125,10.524998256138401,5.539284842354919,1.900064458801852,65.51800781651781
584.5999755859375,0.0,-6.35003662109375,8.95356968470983,5.992858886718758,1.4940397986931637,59.904408882168454
593.8499755859375,9.25,0.0,9.614283970424115,5.774998256138401,1.664811579848502,62.4738946812573
589.1500244140625,0.0,-4.699951171875,9.614283970424115,5.896423339843758,1.6305281042929445,61.984819764212766
597.8499755859375,8.699951171875,0.0,8.789280482700901,5.896423339843758,1.4906121857481485,59.84922880718932
620.2999877929688,22.45001220703125,0.0,10.392852783203134,5.332140241350446,1.9490959188595882,66.0913029784837
618.6500244140625,0.0,-1.64996337890625,5.364283970424107,5.449994768415179,0.9842732329785344,49.60371468102055
620.8499755859375,2.199951171875,0.0,5.52142333984375,5.360709054129464,1.0299800425823304,50.73843195384801
621.4000244140625,0.550048828125,0.0,5.560712541852679,4.274998256138393,1.3007520023822587,56.535950030052184
610.5,0.0,-10.9000244140625,5.560712541852679,4.674996512276786,1.1894581155836066,54.32659830839253
600.2000122070312,0.0,-10.29998779296875,5.560712541852679,4.778568812779018,1.1636774021087704,53.7823892311591
594.9000244140625,0.0,-5.29998779296875,4.560712541852679,5.157139369419643,0.8843492904024265,46.93128258686915
588.2999877929688,0.0,-6.60003662109375,4.560712541852679,5.028568812779018,0.9069603522701362,47.560524852572186
579.7999877929688,0.0,-8.5,3.0821402413504466,5.635711669921875,0.5468945932418812,35.354354177147584
594.25,14.45001220703125,0.0,4.114283970424107,4.089285714285714,1.0061131106713972,50.15236206370616
619.5499877929688,25.29998779296875,0.0,5.921425955636161,3.878570556640625,1.5267031678714462,60.42273533687681
605.9000244140625,0.0,-13.64996337890625,5.921425955636161,4.399993896484375,1.34578049309737,57.37026533631033
612.2000122070312,6.29998779296875,0.0,5.710710797991071,4.399993896484375,1.2978906181106225,56.481827632760755
618.2999877929688,6.0999755859375,0.0,6.14642333984375,4.064283098493304,1.512301970825391,60.195867709666274
612.2999877929688,0.0,-6.0,5.524998256138393,4.492854527064732,1.2297300575516255,55.151521745279844
621.4000244140625,9.10003662109375,0.0,4.571428571428571,4.492854527064732,1.0174886687050546,50.43342668973402
609.5999755859375,0.0,-11.800048828125,4.571428571428571,5.217860630580357,0.8761116662711848,46.69826865969428
606.2000122070312,0.0,-3.39996337890625,4.414289202008929,5.460715157645089,0.8083719942485652,44.701643070095706
601.9000244140625,0.0,-4.29998779296875,4.375,5.767857142857143,0.7585139318885449,43.1338028169014
587.9500122070312,0.0,-13.95001220703125,4.375,5.985713413783482,0.730907027711276,42.22682189220362
585.4000244140625,0.0,-2.54998779296875,4.375,5.432141985212054,0.8053913192825378,44.61034628230074
595.9000244140625,10.5,0.0,5.125,5.053571428571429,1.0141342756183744,50.35087719298246
579.75,0.0,-16.1500244140625,5.125,5.735713413783482,0.8935244197668807,47.1884286486723
579.5,0.0,-0.25,5.125,5.146427699497768,0.9958363935628864,49.895692691782195
586.5999755859375,7.0999755859375,0.0,4.599997384207589,5.146427699497768,0.8938233766805849,47.196765426311366
579.7999877929688,0.0,-6.79998779296875,2.7928553989955356,5.63214111328125,0.49587809375188674,33.1496327022311
574.2999877929688,0.0,-5.5,2.7928553989955356,5.050000871930804,0.5530405775806773,35.610182088236385
575.3499755859375,1.04998779296875,0.0,2.4178553989955356,5.050000871930804,0.47878316465935566,32.37683360897914
591.0999755859375,15.75,0.0,3.107142857142857,5.050000871930804,0.6152757070623793,38.09106422960761
575.25,0.0,-15.8499755859375,3.107142857142857,5.753570556640625,0.5400373257883614,35.06650889204329
578.5999755859375,3.3499755859375,0.0,2.6964242117745534,5.753570556640625,0.4686523238447835,31.910365457898095
585.0499877929688,6.45001220703125,0.0,3.157139369419643,4.910709926060268,0.6429089514461571,39.13235428416419
590.4000244140625,5.35003662109375,0.0,3.5392848423549106,4.667855398995536,0.758225039086798,43.12445916937978
590.5499877929688,0.14996337890625,0.0,3.5499965122767856,4.360713413783482,0.8140861770589747,44.87582714393338
